fileName,dateFrom,dateTo
releaseregister_20210501_20210531.xlsx,2021-05-01,2021-05-31
releaseregister_20210401_20210430.xlsx,2021-04-01,2021-04-30
releaseregister_20210301_20210331.xlsx,2021-03-01,2021-03-31
releaseregister_20210201_20210228.xlsx,2021-02-01,2021-02-28
releaseregister_20210101_20210131.xlsx,2021-01-01,2021-01-31
releaseregister_20201201_20201231.xlsx,2020-12-01,2020-12-31
releaseregister_20201101_20201130.xlsx,2020-11-01,2020-11-30
register-of-approved-data-releases-october-2020.xlsx,2020-10-01,2020-10-31
releaseregister_20200901_20200930.xlsx,2020-09-02,2020-09-30
releaseregister_20200801_20200831.xlsx,2020-08-01,2020-08-31
releaseregister_20200701_20200731.xlsx,2020-07-01,2020-07-31
releaseregister_20200601_20200630.xlsx,2020-06-01,2020-06-30
releaseregister_20200501_20200531.xlsx,2020-05-01,2020-05-31
releaseregister_20200401_20200430.xlsx,2020-04-01,2020-04-30
releaseregister_20200301_20200331,2020-03-01,2020-03-31
releaseregister_20200201_20200229.xlsx,2020-02-01,2020-02-29
releaseregister_20200101_20200131.xlsx,2020-01-01,2020-01-31
releaseregister20191201_20191231.xlsx,2019-12-01,2019-12-31
releaseregister20191101_20191130.xlsx,2019-11-01,2019-11-30
releaseregister20191001_20191031.xlsx,2019-10-01,2019-10-31
releaseregister20190901_20190930.xlsx,2019-09-01,2019-09-30
releaseregister20190801_20190831.xlsx,2019-08-01,2019-08-31
releaseregister20190701_20190731.xlsx,2019-07-01,2019-07-31
releaseregister20190601_20190630.xlsx,2019-06-01,2019-06-30
releaseregister20190501_20190531.xlsx,2019-05-01,2019-05-31
release-register_20190401_20190430.xlsx,2019-04-01,2019-04-30
releaseregister20190301_20190331.xlsx,2019-03-01,2019-03-31
releaseregister20190201_20190228.xlsx,2019-02-01,2019-02-28
releaseregister20190101_20190131.xlsx,2019-01-01,2019-01-31
releaseregisteroct-dec18.xlsx,2018-10-01,2018-12-31
releaseregister25may-30sep18.xlsx,2018-05-25,2018-09-30
releaseregister20180301_20180524.xlsx,2018-03-01,2018-05-24
releaseregister20171201_20180228.xlsx,2017-12-01,2018-02-28
releaseregister20170901_20171130_v02.xlsx,2017-09-01,2017-11-30
releaseregister20170601_20170831_v02.xlsx,2017-06-01,2017-08-31
release_register__march_-_may_20171.xlsx,2017-03-01,2017-05-31
release_register__december_16_-_february_17.xlsx,2016-12-01,2017-02-28
data_release_register__september_-_november_2016.xlsx,2016-09-01,2016-11-30
data_release_register__april_-_august_2016.xlsx,2016-04-01,2016-08-31
